title,similarity,label_included,probability
Incidence of cancer in postmyocardial infarction patients treated with short-acting nifedipine and diltiazem. Secondary Prevention Group.,0.2512,1,0.0018512392222097562
"Antihypertensive therapy and quality of life. Influence of blood pressure reduction, adverse events, and prior antihypertensive therapy.",0.2504,1,0.0018453529339425654
Quality of life in normotensives compared to hypertensive men treated with isradipine or methyldopa as monotherapy or in combination with captopril: the LOMIR-MCT-IL study.,0.2487,1,0.0018329066413218169
Effect of amlodipine on morbidity and mortality in severe chronic heart failure. Prospective Randomized Amlodipine Survival Evaluation Study Group.,0.2442,1,0.0018003642807950086
Age and severe adverse drug reactions caused by nifedipine and verapamil. Gruppo Italiano di Farmacovigilanza nell' Anziano (GIFA).,0.2338,1,0.0017273488021712785
Quality of life and calcium channel blockade with nifedipine GITS versus amlodipine in hypertensive patients in Spain. Gastrointestinal Therapeutic System.,0.1796,1,0.0013921139477117885
"Effects of amlodipine on exercise tolerance, quality of life, and left ventricular function in patients with heart failure from left ventricular systolic dysfunction.",0.1497,1,0.0012358941981013157
"A long-term, double-blind, comparative study on quality of life during treatment with amlodipine or enalapril in mild or moderate hypertensive patients: a multicentre study.",0.142,1,0.00119858523315432
Effects of calcium-channel blockade in older patients with diabetes and systolic hypertension. Systolic Hypertension in Europe Trial Investigators.,0.1401,0,0.001189553699832982
Hypertension in the elderly: 24 h ambulatory blood pressure results from a placebo-controlled trial.,0.1343,0,0.001162402544928709
"Calcium channel blockers, cancer incidence, and cancer mortality in a cohort of U.S. women: the nurses' health study.",0.1303,0,0.001144039540537119
Verapamil is associated with an increased risk of cancer in the elderly: the Rotterdam study.,0.1293,1,0.0011394942960687294
Calcium channel blocking agents and risk of cancer in patients with coronary heart disease. Benzafibrate Infarction Prevention (BIP) Study Research Group.,0.1278,1,0.0011327102659818495
A randomized comparison of the effect of four antihypertensive monotherapies on the subjective quality of life in previously untreated asymptomatic patients: field trial in general practice. The OCAPI Study Group. Optimiser le Choix d'un Anti-hypertenseur de Première Intention.,0.1273,1,0.0011304579098625764
Antihypertensive medication and quality of life--silent treatment of a silent killer?,0.1242,0,0.0011165929234385106
Effects of metoprolol vs verapamil in patients with stable angina pectoris. The Angina Prognosis Study in Stockholm (APSIS),0.1233,1,0.0011125995494745346
Effect of the calcium antagonist felodipine as supplementary vasodilator therapy in patients with chronic heart failure treated with enalapril: V-HeFT III. Vasodilator-Heart Failure Trial (V-HeFT) Study Group.,0.1211,1,0.0011028979900936993
Bisoprolol and nifedipine retard in elderly hypertensive patients: effect on quality of life.,0.1209,1,0.0011020202360691419
Quality of life of elderly patients with isolated systolic hypertension: baseline data from the Syst-Eur trial. Syst-Eur Trial Investigators.,0.1206,0,0.001100704914678453
"Relation between drug treatment and cancer in hypertensives in the Swedish Trial in Old Patients with Hypertension 2: a 5-year, prospective, randomised, controlled trial.",0.1202,0,0.0010989535945793527
Effects of antihypertensive medications on quality of life in elderly hypertensive women.,0.1193,1,0.0010950233057694463
Quality of life and cost-effectiveness in the treatment of hypertension.,0.1189,0,0.0010932810256189685
"A systematic review and meta-analysis of the incidence of cancer in randomized, controlled trials of verapamil.",0.1187,0,0.0010924109253659727
"Medical therapy, symptoms, and the distress the cause: relation to quality of life in patients with angina pectoris and/or hypertension.",0.1178,0,0.0010885040357056963
Additive effects of verapamil and enalapril in the treatment of mild to moderate hypertension.,0.1154,0,0.0010781538379708475
"At equipotent doses, isradipine is better tolerated than amlodipine in patients with mild-to-moderate hypertension: a double-blind, randomized, parallel-group study.",0.1135,0,0.0010700297746636964
Short-acting nifedipine and diltiazem do not reduce the incidence of cardiac events in patients with healed myocardial infarction. Secondary Prevention Group.,0.1133,0,0.001069178179185653
Calcium channel blockers and the risk of cancer.,0.1125,1,0.0010657785694020154
A comparison of rate control and rhythm control in patients with atrial fibrillation.,0.1121,0,0.0010640828202462761
Nifedipine. Dose-related increase in mortality in patients with coronary heart disease.,0.1097,0,0.0010539648351635066
