title,similarity,label_included,probability
An Environment of Conducting Families of Software Engineering Experiments,0.12,1,0.0008474064824170698
Status of Empirical Research in Software Engineering,0.12,1,0.0008474064824170698
Lessons from applying the systematic literature review process within the software engineering domain,0.11,1,0.0008141791989755395
A Survey of Controlled Experiments in Software Engineering,0.11,1,0.0008141791989755395
Empirical Software Engineering: Teaching Methods and Conducting Studies,0.11,1,0.0008141791989755395
The Future of Empirical Methods in Software Engineering Researc,0.11,1,0.0008141791989755395
Empirical Analysis of High Maturity Quality Management Practices in a Globally Outsourced Software Development Environment,0.1,1,0.0007822547759531965
"Quality, productivity and economic benefits of software reuse: a review of industrial studies",0.1,1,0.0007822547759531965
Are CMM Program Investments Beneficial? Analyzing Past Studies,0.1,1,0.0007822547759531965
Information Technology Outsourcing (ITO) Governance: An Examination of the Outsourcing Management Maturity Model,0.1,1,0.0007822547759531965
Evaluating Quality in Model-Driven Engineering,0.1,1,0.0007822547759531965
Model-Based Performance Prediction in Software Development: A Survey,0.1,1,0.0007822547759531965
International workshop on realising evidence-based software engineering,0.09,1,0.0007515821274622978
Soup or Art? The Role of Evidential Force in Empirical Software Engineering,0.09,1,0.0007515821274622978
Scientific research ontology to support systematic review in software engineering. .,0.09,1,0.0007515821274622978
Scientific research ontology to support systematic review in software engineering,0.09,1,0.0007515821274622978
Development of software engineering: A research perspective.,0.09,1,0.0007515821274622978
A systematic review of statistical power in software engineering experiments.,0.09,1,0.0007515821274622978
Evidence-based practice in human-computer interaction and evidence maps,0.09,1,0.0007515821274622978
Combining software evidence: arguments and assurance,0.09,1,0.0007515821274622978
Experiences and Methods from Integrating Evidence-Based Software Engineering into Education,0.09,1,0.0007515821274622978
Editorial: Introduction to special section on Evaluation and Assessment in Software Engineering EASE06,0.09,1,0.0007515821274622978
Measurement in software engineering: From the roadmap to the crossroads.,0.09,1,0.0007515821274622978
Towards Evidence in Software Engineering,0.09,1,0.0007515821274622978
Second international workshop on interdisciplinary software engineering research (WISER),0.08,1,0.0007221121707214111
A Systematic Review of Theory Use in Software Engineering Experiments,0.08,1,0.0007221121707214111
"Empirical Evaluation in Software Engineering: Role, Strategy, and Limitations",0.08,1,0.0007221121707214111
The Future of Empirical Methods in Software Engineering Research,0.08,1,0.0007221121707214111
Second international workshop on interdisciplinary software engineering research: (WISER'06),0.08,1,0.0007221121707214111
Supporting software development with roles.,0.08,1,0.0007221121707214111
On the success of empirical studies in the international conference on software engineering,0.08,1,0.0007221121707214111
Integrated Software Process and Product Lines,0.08,1,0.0007221121707214111
Motivation in Software Engineering: A systematic literature review,0.08,1,0.0007221121707214111
Statistical significance testing - a panacea for software technology experiments?,0.08,1,0.0007221121707214111
Seeds of Evidence: Integrating Evidence-Based Software Engineering,0.08,1,0.0007221121707214111
Game theory perspectives on client: vendor relationships in offshore software outsourcing,0.08,1,0.0007221121707214111
Investigating the applicability of the evidence-based paradigm to software engineering,0.08,1,0.0007221121707214111
Critical factors in software outsourcing: a pilot study,0.08,1,0.0007221121707214111
The Focus Group Method as an Empirical Tool in Software Engineering,0.08,1,0.0007221121707214111
Evidence-Based Software Engineering and Systematic Literature Reviews,0.08,1,0.0007221121707214111
Realising evidence-based software engineering,0.08,1,0.0007221121707214111
On establishing the essential components of a technology-dependent framework: a strawman framework for industrial case study-based research,0.08,1,0.0007221121707214111
2nd International Workshop on Realising Evidence-Based Software Engineering (REBSE-2),0.08,1,0.0007221121707214111
A Systematic Review of Software Development Cost Estimation Studies,0.08,1,0.0007221121707214111
Human and social factors of software engineering: workshop summary,0.08,1,0.0007221121707214111
Model-driven software evolution: A research agenda,0.08,1,0.0007221121707214111
Accumulation and presentation of empirical evidence: problems and challenges,0.08,1,0.0007221121707214111
"The Experimental Paradigm in Reverse Engineering: Role, Challenges, and Limitations",0.08,1,0.0007221121707214111
Software process improvement in small and medium software enterprises: a systematic review,0.08,1,0.0007221121707214111
Applying Systematic Reviews to Diverse Study Types: An Experience Report,0.08,1,0.0007221121707214111
Realising evidence-based software engineering a report from the workshop held at ICSE 2005,0.08,1,0.0007221121707214111
Performing systematic literature reviews in software engineering,0.08,1,0.0007221121707214111
Software engineering research strategy: Combining experimental and explorative research (EER).,0.07,1,0.0006937977475124912
From Silver Bullets to Philosophers? Stones: Who Wants to Be Just an Empiricist?,0.07,1,0.0006937977475124912
SArt: Towards Innovation at the intersection of Software engineering and art,0.07,1,0.0006937977475124912
Requirements engineering and process modelling in software quality management - Towards a generic process metamodel.,0.07,1,0.0006937977475124912
Evidence-Based Software Engineering for Practitioners,0.07,1,0.0006937977475124912
Overcoming Requirements Engineering Challenges: Lessons from Offshore Outsourcing,0.07,1,0.0006937977475124912
Protocols in the use of empirical software engineering artifacts,0.07,1,0.0006937977475124912
"An Empirical Study of the Complex Relationships between Requirements Engineering Processes and Other Processes that Lead to Payoffs in Productivity, Quality, and Risk Management",0.07,1,0.0006937977475124912
Controversy Corner: A new research agenda for tool integration,0.07,1,0.0006937977475124912
Empirical evaluation and review of a metrics-based approach for use case verification.,0.07,1,0.0006937977475124912
Software project economics: a roadmap,0.07,1,0.0006937977475124912
Genetic algorithms to support software engineering experimentation,0.07,1,0.0006937977475124912
Survey of Software Inspection Research: 1991-2005,0.07,1,0.0006937977475124912
2nd InternationalWorkshop on Realising Evidence-Based Software Engineering (REBSE-2): Overview and Introduction,0.07,1,0.0006937977475124912
A Model for Requirements Change Management: Implementation of CMMI Level 2 Specific Practice,0.07,1,0.0006937977475124912
IT Application Assessment Model for Global Software Development,0.07,1,0.0006937977475124912
A systematic review of Web engineering research,0.07,1,0.0006937977475124912
An Analysis Framework of Factors Influencing China Software and Information Service Offshore Outsourcing,0.07,1,0.0006937977475124912
Towards a Computerized Infrastructure for Managing Experimental   Software Engineering Knowledge,0.07,1,0.0006937977475124912
Software engineering practice versus evidence-based software engineering research,0.07,1,0.0006937977475124912
Realising evidence-based software engineering (REBSE-2) a report from the workshop held at ICSE 2007,0.07,1,0.0006937977475124912
Empirical Evaluation of Agile Software Development: The Controlled Case Study Approach,0.07,1,0.0006937977475124912
Selecting Empirical Methods for Software Engineering Research,0.07,1,0.0006937977475124912
Using Context Distance Measurement to Analyze Results across Studies,0.07,1,0.0006937977475124912
Towards building a solid empirical body of knowledge in testing techniques,0.07,1,0.0006937977475124912
Foundations of Model (driven) (Reverse) Engineering - Episode I: Story of the Fidus Papyrus and the Solarus,0.07,1,0.0006937977475124912
SM CMM Model to Evaluate and Improve the Quality of Software Maintenance Process: Overview of the model,0.07,1,0.0006937977475124912
Evaluating Software Project Prediction Systems,0.07,1,0.0006937977475124912
Modeling the Experimental Software Engineering Process,0.07,1,0.0006937977475124912
Software engineering challenges for mutable agent systems.,0.07,1,0.0006937977475124912
Reflections on 10 Years of Software Process Simulation Modeling,0.07,1,0.0006937977475124912
Is there a future for empirical software engineering?,0.07,1,0.0006937977475124912
Secure Software Development - Identification of Security Activities and Their Integration in Software Development Lifecycle,0.07,1,0.0006937977475124912
Simulating Families of Studies to Build Confidence in Defect Hypotheses,0.07,1,0.0006937977475124912
Reporting Experiments in Software Engineering,0.07,1,0.0006937977475124912
Teaching Software Evolution in Open Source,0.07,1,0.0006937977475124912
Using Linear Regression Models to Analyse the Effect of Software Process Improvement,0.07,1,0.0006937977475124912
Practical problems of programming in the large (PPPL).,0.07,1,0.0006937977475124912
Impact of software engineering research on the practice of Software Configuration Management.,0.06,1,0.0006665935487176715
Research Directions in Requirements Engineering,0.06,1,0.0006665935487176715
Open Source Software: A Source of Possibilities for Software Engineering Education and Empirical Software Engineering,0.06,1,0.0006665935487176715
MDE for BPM: A Systematic Review,0.06,1,0.0006665935487176715
Data sets and data quality in software engineering,0.06,1,0.0006665935487176715
Reporting guidelines for controlled experiments in software engineering,0.06,1,0.0006665935487176715
A Systematic Review Measurement in Software Engineering: State-of-the-Art in Measures,0.06,1,0.0006665935487176715
Reflection and abstraction in learning software engineering's human aspects.,0.06,1,0.0006665935487176715
Evidence-Based Software Engineering,0.06,1,0.0006665935487176715
"Software engineering: The past, the future, and your TCSE.",0.06,1,0.0006665935487176715
Research issues in software fault categorization,0.06,1,0.0006665935487176715
What Do We Know about Defect Detection Methods?,0.06,1,0.0006665935487176715
Supporting task-oriented modeling using interactive UML views,0.06,1,0.0006665935487176715
